名称,地址,经度,纬度,电话,类型,高德POI ID,所在省,所在市,所在区
安家桂花汤圆(中山路店),中山路246号(珠江路地铁站3号口步行80米),118.784305,32.052284,13851814979,餐饮服务;中餐厅;中餐厅,B0K2SK0RR2,江苏省,南京市,玄武区
水西门陈家鸭子店(中山路店),地铁大厦南门北70米(珠江路地铁站3号口步行60米),118.784304,32.052377,18860848545,餐饮服务;中餐厅;中餐厅,B0LUOHJLPP,江苏省,南京市,玄武区
丹枫雨露(广州路店),广州路5号(珠江路地铁站1号口步行200米),118.782808,32.049751,025-86679002,餐饮服务;中餐厅;中餐厅|生活服务;美容美发店;美容美发店,B0FFG35QPA,江苏省,南京市,鼓楼区
金良酸菜鱼(青岛路店),青岛路31号,118.778342,32.051999,15365102217,餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;四川菜(川菜),B0FFF90YLP,江苏省,南京市,鼓楼区
小田园南京土菜,青岛路2-15号(五台山地铁站1号口步行290米),118.778342,32.052007,13813882317,餐饮服务;中餐厅;中餐厅,B0KGTH729B,江苏省,南京市,鼓楼区
Alkupera Cafe原点咖啡(汉口路小区店),汉口路47号(好运智竞馆二楼),118.778888,32.053475,15996214294;18061480170,餐饮服务;咖啡厅;咖啡厅,B0JGGSNYIE,江苏省,南京市,鼓楼区
陕老顺(汉口路店),汉口路30号,118.779105,32.053716,15924140124,餐饮服务;餐饮相关场所;餐饮相关,B0I1AZBCCD,江苏省,南京市,鼓楼区
青露包子(吉兆营店),中山路246号,118.784415,32.052311,13951824925,餐饮服务;餐饮相关场所;餐饮相关,B0FFMDO7IE,江苏省,南京市,玄武区
陈记六合猪头肉鸭血粉丝,青岛路2号小区西2门旁,118.778355,32.052525,[],餐饮服务;中餐厅;中餐厅,B0KROYLDMQ,江苏省,南京市,鼓楼区
鱼塘鲜酸菜鱼小馆(南大店),华侨路街道汉口路32号,118.778987,32.053660,18951000166,餐饮服务;中餐厅;海鲜酒楼,B0FFGO47Z7,江苏省,南京市,鼓楼区
安庆馄饨店(青岛路10号院店),青岛路8号,118.778356,32.052708,18912930685,餐饮服务;中餐厅;特色/地方风味餐厅,B0FFG87HND,江苏省,南京市,鼓楼区
晚风来信咖啡店,青岛路31号,118.778238,32.052095,15268009630,餐饮服务;咖啡厅;咖啡厅,B0K6VMUAVT,江苏省,南京市,鼓楼区
冰箱coffee shop,青岛路6-1号,118.778338,32.052664,17384489311,餐饮服务;咖啡厅;咖啡厅,B0KRJN1ZC9,江苏省,南京市,鼓楼区
王家馄饨铺(广州路店),南京地铁北1门旁(珠江路地铁站3号口步行90米),118.784506,32.052269,15950474085,餐饮服务;中餐厅;中餐厅,B0FFHZQ2CP,江苏省,南京市,玄武区
食壹咖喱(青岛路店),"青岛路6-1号(华达宾馆对面,近南京大学)",118.778339,32.052775,17721548929;17721548969,餐饮服务;中餐厅;中餐厅,B0FFJ4K1BO,江苏省,南京市,鼓楼区
宁广面馆,华侨路街道广州路39-13号,118.779408,32.049869,15951967003,餐饮服务;中餐厅;中餐厅,B0JU75P7P6,江苏省,南京市,鼓楼区
鸭得堡老鸭汤鸭血粉丝(广州路儿童医院店),广州路39-11(珠江路地铁站出入口步行480米),118.779328,32.049879,17721519081,餐饮服务;餐饮相关场所;餐饮相关,B0LBYRWE35,江苏省,南京市,鼓楼区
麦当劳(青岛路餐厅),青岛路10号青岛路10号院,118.778326,32.052889,[],餐饮服务;快餐厅;快餐厅,B0L22DZCJG,江苏省,南京市,鼓楼区
李记吊龙牛肉汤(南京大学店),汉口路36-1号,118.778807,32.053661,13675182811,餐饮服务;中餐厅;中餐厅,B0L3LMP8EQ,江苏省,南京市,鼓楼区
老王馄饨,汉口路32号,118.778807,32.053661,[],餐饮服务;中餐厅;中餐厅,B0FFK9FJ8D,江苏省,南京市,鼓楼区
石锅房石锅拌饭(南大店),汉口路32号,118.778807,32.053661,13851543821,餐饮服务;外国餐厅;韩国料理,B001912J4S,江苏省,南京市,鼓楼区
兰州拉面刀削面(汉口路店),汉口路36号,118.778811,32.053679,[],餐饮服务;中餐厅;清真菜馆,B00190B4AB,江苏省,南京市,鼓楼区
青成咖啡店(南大店),青岛路10号1栋101,118.778320,32.052935,16620034010,餐饮服务;咖啡厅;咖啡厅,B0JAPY5SCW,江苏省,南京市,鼓楼区
雅妹面菜馆(广州路店),广州路39-17号(珠江路地铁站出入口步行480米),118.779254,32.049887,13451939228,餐饮服务;中餐厅;中餐厅,B001908RFL,江苏省,南京市,鼓楼区
小飞象面包公社(珠江路金鹰店),珠江路1号金鹰商场南馆1楼(珠江路地铁站4号口旁),118.784366,32.050889,18014491349,餐饮服务;糕饼店;糕饼店,B0JKOUKXV0,江苏省,南京市,玄武区
一鸣真鲜奶吧(南京珠江路地铁站店),中山路与珠江路交叉口北40米(珠江路地铁站4号口旁),118.784375,32.050896,17361863703,餐饮服务;冷饮店;冷饮店,B0HKJZXTGN,江苏省,南京市,玄武区
鹿港美·台湾菜(珠江路金鹰店),珠江路金鹰中心北馆4层,118.784549,32.051301,025-86531957;18625158835,餐饮服务;中餐厅;中餐厅|生活服务;生活服务场所;生活服务场所,B0FFFWQRNS,江苏省,南京市,玄武区
BeanStar比星咖啡(南京玄武金鹰购物中心店),珠江路1号金鹰国际购物中心珠江路店F1层,118.784372,32.050831,17715264231,餐饮服务;咖啡厅;咖啡厅,B0LACUD4JH,江苏省,南京市,玄武区
米村拌饭(金鹰珠江路店),金鹰珠江路店北馆负一层FB202商户,118.784596,32.051409,17712917167;17745177958,餐饮服务;快餐厅;快餐厅,B0JDBSBXM1,江苏省,南京市,玄武区
老乡鸡(南京珠江路金鹰店),珠江路金鹰天地负一楼(珠江路地铁站4号口旁),118.784320,32.050730,4007661777,餐饮服务;餐饮相关场所;餐饮相关,B0FFKXVOIP,江苏省,南京市,玄武区
重庆鸡公煲(广州路店),海苑大厦北2门旁(五台山地铁站1号口步行150米),118.779062,32.049969,13390914082;15380214506,餐饮服务;中餐厅;四川菜(川菜),B0JD71D6QB,江苏省,南京市,鼓楼区
麻辣盛宴(金鹰国际购物中心店),珠江1号金鹰天地负1楼,118.784591,32.051280,025-87715513,餐饮服务;中餐厅;四川菜(川菜)|餐饮服务;休闲餐饮场所;休闲餐饮场所,B0FFJGZMW2,江苏省,南京市,玄武区
鱼酷活鱼烤鱼(南京珠江路金鹰店),珠江路1号金鹰天地购物中心3层T302商铺,118.784561,32.051136,025-88816067,餐饮服务;中餐厅;四川菜(川菜)|餐饮服务;中餐厅;海鲜酒楼|餐饮服务;休闲餐饮场所;休闲餐饮场所,B0FFIPGY3V,江苏省,南京市,玄武区
筷尚客大食堂,汉口路38号(近南京大学),118.778668,32.053664,13601586608,餐饮服务;中餐厅;中餐厅,B0KB7SLV0M,江苏省,南京市,鼓楼区
新白鹿(珠江路金鹰店),珠江路1号金鹰国际购物中心北馆4楼,118.784569,32.051130,025-88816989,餐饮服务;中餐厅;中餐厅|餐饮服务;冷饮店;冷饮店,B0FFM9WNT2,江苏省,南京市,玄武区
和府捞面(南京珠江路金鹰店),新街口街道珠江路1号金鹰珠江路店B1层AB1-00056,118.784629,32.051212,15651968350;18020146782,餐饮服务;快餐厅;快餐厅,B0FFLN9HVZ,江苏省,南京市,玄武区
慢慢早,汉口路61号,118.778448,32.053447,[],餐饮服务;中餐厅;中餐厅,B0K3XD27DJ,江苏省,南京市,鼓楼区
兰州拉面(吉兆营店),中山路248号(珠江路地铁站3号口步行210米),118.784745,32.052278,18751990095,餐饮服务;中餐厅;清真菜馆,B0FFF90QH1,江苏省,南京市,玄武区
山姐豆花,华达宾馆东门旁(五台山地铁站1号口步行400米),118.778175,32.052975,[],餐饮服务;中餐厅;中餐厅,B0LR7KGMJV,江苏省,南京市,鼓楼区
穆兰说兰州牛肉面,广州路39号(儿童医院对面),118.779052,32.049862,19514408742,餐饮服务;中餐厅;清真菜馆,B0FFFA0852,江苏省,南京市,鼓楼区
膳当家黄焖鸡米饭(汉口路店),汉口路38号,118.778613,32.053693,13851644907,餐饮服务;中餐厅;中餐厅,B0FFGMME6K,江苏省,南京市,鼓楼区
摆川饭堂,青岛路33-6号(五台山地铁站1号口步行400米),118.778183,32.053030,18115604765,餐饮服务;餐饮相关场所;餐饮相关,B0LURN3034,江苏省,南京市,鼓楼区
金佰膳(珠江路店),珠江路1号金鹰北馆F1层,118.784703,32.051333,[],餐饮服务;中餐厅;中餐厅,B0KAYO17AS,江苏省,南京市,玄武区
大鼓米线(金鹰购物中心店),珠江路1号金鹰北馆B2层,118.784718,32.051339,[],餐饮服务;中餐厅;中餐厅,B0K1X79NR9,江苏省,南京市,玄武区
jackob嘉珂舶清真餐厅(汉口路店),"汉口路61号(青岛路与汉口路交界,青岛路苏果超市对面)",118.778279,32.053271,025-86521668;13337812992,餐饮服务;外国餐厅;西餐厅(综合风味),B0FFHPR7UD,江苏省,南京市,鼓楼区
井格重庆火锅(南京珠江路金鹰店),珠江路1号金鹰北馆F3层,118.784726,32.051252,025-88816580,餐饮服务;中餐厅;火锅店,B0K62UAYXU,江苏省,南京市,玄武区
老娘舅(金鹰国际购物中心店),金鹰北馆(珠江路地铁站3号口步行120米),118.784785,32.051474,025-88816127,餐饮服务;快餐厅;快餐厅,B0FFF54OCI,江苏省,南京市,玄武区
韩师傅烤冷面&炸串,汉口路61-9号,118.778297,32.053362,13851895307;18020116428,餐饮服务;中餐厅;中餐厅,B0HAF4U1AS,江苏省,南京市,鼓楼区
单县羊肉汤,地铁大厦北2门旁(珠江路地铁站3号口步行120米),118.784826,32.052280,[],餐饮服务;中餐厅;中餐厅,B0I2PP4ZR1,江苏省,南京市,玄武区
麦吉machimachi(珠江路金鹰店),珠江路金鹰购物中心南馆B2层A01-00217号(珠江路4号地铁口),118.784573,32.050829,19941565572,餐饮服务;冷饮店;冷饮店,B0G3DR36I5,江苏省,南京市,玄武区
POETS泰狮(金鹰北馆店),珠江路1号金鹰北馆105室,118.784695,32.051106,025-88802430,餐饮服务;外国餐厅;泰国/越南菜品餐厅,B0IAMK94KV,江苏省,南京市,玄武区
煲仔皇煲仔饭(珠江路金鹰店),珠江路1号珠江路金鹰AB2层FB209号,118.784788,32.051360,17312141908,餐饮服务;餐饮相关场所;餐饮相关,B0HRPB3881,江苏省,南京市,玄武区
Manner Coffee(南京珠江路金鹰店),珠江路1号金鹰国际购物中心(珠江路店)南馆F1层,118.784504,32.050669,13003180743,餐饮服务;咖啡厅;咖啡厅,B0FFFEO46X,江苏省,南京市,玄武区
福桔家庭厨房,汉口路42号(五台山地铁站1号口步行480米),118.778479,32.053663,19961882001,餐饮服务;中餐厅;中餐厅,B0IDSXTWMI,江苏省,南京市,鼓楼区
满小西 WESTMAN(鼓楼医院店),中山路321号鼓楼医院扩楼一楼,118.783180,32.054522,15312065917,餐饮服务;餐饮相关场所;餐饮相关,B0K1ZCX3B9,江苏省,南京市,鼓楼区
茶颜悦色(南京珠江路金鹰店),珠江路地铁站4号口旁,118.784565,32.050774,17366034598,餐饮服务;冷饮店;冷饮店,B0JDT78MY4,江苏省,南京市,玄武区
潮牛座淮南牛肉汤(南大店),爱德基金会东门旁(五台山地铁站1号口步行410米),118.778245,32.053331,18168022021,餐饮服务;中餐厅;中餐厅,B0L2R9N9UY,江苏省,南京市,鼓楼区
德克士(鼓楼中山路店),中山路321号南扩楼1层9号,118.783250,32.054500,18351457437,餐饮服务;快餐厅;快餐厅,B0M6GUOEPN,江苏省,南京市,鼓楼区
茶话弄(南京金鹰珠江路店),珠江路1号金鹰珠江路购物中心南馆B1层,118.784648,32.050910,13347831945,餐饮服务;冷饮店;冷饮店,B0JRJLJJY4,江苏省,南京市,玄武区
放心油条豆浆店(吉兆营店),吉兆营52号(珠江路地铁站3号口步行130米),118.784867,32.052285,15951927802;18795964599,餐饮服务;中餐厅;中餐厅,B0FFHFCHFA,江苏省,南京市,玄武区
秀饼啊BAKERY,汉口路42号,118.778403,32.053600,13382781810,餐饮服务;糕饼店;糕饼店,B0KD271H7D,江苏省,南京市,鼓楼区
慢屋食堂,汉口路42号1层,118.778414,32.053654,18013300608,餐饮服务;中餐厅;中餐厅,B0HGX6V9T1,江苏省,南京市,鼓楼区
京和风食堂·定食寿喜锅(珠江路金鹰店),珠江路金鹰购物中心负一层AB1-00059商铺,118.784619,32.050758,13851803592;18014842625,餐饮服务;快餐厅;快餐厅,B0FFLLW2OP,江苏省,南京市,玄武区
瑞幸咖啡(珠江路金鹰店),珠江路1号金鹰国际购物中心负二层105号商铺,118.784775,32.051046,4000100100,餐饮服务;咖啡厅;咖啡厅,B0KR0HDUW2,江苏省,南京市,玄武区
面包新语,中山路与汉口路交叉口西北80米,118.783375,32.054525,[],餐饮服务;糕饼店;糕饼店,B0K3URMFOA,江苏省,南京市,鼓楼区
果燃掂·东方甜品(珠江路金鹰店),珠江路1号金鹰购物中心南馆B2层,118.784789,32.050948,025-58633602,餐饮服务;冷饮店;冷饮店,B0FFKUQ2BJ,江苏省,南京市,玄武区
Ora Coffee(珠江路金鹰店),珠江路1号101室F1028,118.784625,32.050575,13813886104,餐饮服务;咖啡厅;咖啡厅,B0LKTHW1FO,江苏省,南京市,玄武区
麦记牛奶(珠江路金鹰店),珠江路金鹰,118.784631,32.050570,13382794291,餐饮服务;甜品店;甜品店,B0LDNH088P,江苏省,南京市,玄武区
星巴克(鼓楼医院店),中山路321号鼓楼医院南扩新院区门诊大楼1层,118.782855,32.054829,025-51865029,餐饮服务;咖啡厅;星巴克咖啡,B0FFKNWT3C,江苏省,南京市,鼓楼区
魂浊·精酿宝藏小馆(汉口路店),汉口路40号1-2号,118.778529,32.053968,[],餐饮服务;餐饮相关场所;餐饮相关,B0I27GGA2C,江苏省,南京市,鼓楼区
老新隆李氏牛肉锅贴(及及广场店),珠江路2-4号及及广场-07,118.784294,32.050083,18651698588,餐饮服务;餐饮相关场所;餐饮相关,B0KUGYM3DQ,江苏省,南京市,玄武区
觅洞(及及广场店),珠江路2号及及广场2层(金鹰对面),118.784353,32.050121,13813949851,餐饮服务;中餐厅;中餐厅,B0I2RHQQ7D,江苏省,南京市,玄武区
肯德基(广州店),广州路104号,118.778164,32.050388,025-86632902,餐饮服务;快餐厅;肯德基,B00190B49T,江苏省,南京市,鼓楼区
陇上秦轩(金鹰购物中心金鹰南馆店),珠江路1号金鹰国际购物中心(珠江路店)南馆B1层,118.784747,32.050676,18020125987,餐饮服务;中餐厅;中餐厅,B0I2P62TOO,江苏省,南京市,玄武区
鸭得堡老鸭汤鸭血粉丝(南京鼓楼医院店),天津路与汉口路交叉口北100米,118.783043,32.054800,[],餐饮服务;中餐厅;中餐厅,B0KUSXVCYD,江苏省,南京市,鼓楼区
春水塘土菜馆(汉口路店),汉口路40-5号,118.778509,32.054006,025-58075395;13770550241;18260411172,餐饮服务;中餐厅;中餐厅,B00190Z8DG,江苏省,南京市,鼓楼区
牛二牛蘭州牛肉面,新街口街道珠江路2-4号及及广场-05,118.784283,32.049971,[],餐饮服务;中餐厅;清真菜馆,B0LRJAGVCX,江苏省,南京市,玄武区
贵州米线(吉兆花园店),唱经楼西街7号吉兆花园,118.785110,32.052331,15151884883,餐饮服务;中餐厅;中餐厅,B0I2G7G8MD,江苏省,南京市,玄武区
七侍SEVENTOR(金鹰北馆店),金鹰北馆(珠江路地铁站出入口步行180米),118.785036,32.051204,025-88816976,餐饮服务;中餐厅;中餐厅,B0IKJA4MFP,江苏省,南京市,玄武区
肯悦咖啡广州路店,广州路104号,118.778061,32.050381,025-83241985,餐饮服务;咖啡厅;咖啡厅,B0KU3BF91F,江苏省,南京市,鼓楼区
小飞烤冷面(汉口路73号小区店),[],118.778103,32.053672,13675147518;18652013125,餐饮服务;餐饮相关场所;餐饮相关,B0J0UC68WW,江苏省,南京市,鼓楼区
卿黛一人食,及及广场一楼卿黛一人食,118.784285,32.049872,[],餐饮服务;中餐厅;中餐厅,B0L2AS1Z54,江苏省,南京市,玄武区
酸奶罐罐(南京玄武金鹰珠江路店),珠江路1号,118.785037,32.050907,15366192060,餐饮服务;冷饮店;冷饮店,B0FFGWQPL1,江苏省,南京市,玄武区
茶颜悦色(及及广场店),及及广场(珠江路地铁站4号口步行110米),118.784550,32.050094,[],餐饮服务;餐饮相关场所;餐饮相关,B0K3NUQDZP,江苏省,南京市,玄武区
三猫黑鱼花(南大店),珠江路2-4号及及广场二楼,118.784423,32.049947,18021537138,餐饮服务;中餐厅;海鲜酒楼,B0I1VMWM1T,江苏省,南京市,玄武区
